Tweet,Sentimiento_Label
"📻Los #bootcamps son para ""cualquier persona que quiera un empleo tecnológico de calidad"", como bien explican Inés García Clariana y @AmparoGalbis1 en ""La Tarde con Marina"" en @999plazaradio. Escucha la entrevista completa de nuestro equipo de #Valencia🔊https://t.co/7HNlE0vpmO",positivo
"👾 El caso #Pegasus, un ejemplo más de #ciberespionaje que pone en relevancia la necesidad de expertos en #ciberseguridad

Te contamos qués es 🕵️‍♀️ y para qué fue creado 👇 https://t.co/kyzgkQDZ8N",positivo
¡”Let’s talk about education”! Os invitamos a la primera sesión del nuevo ciclo de conferencias sobre #educación @ikerarceseco y @victorianoi debatirán sobre los datos en el sector y descubriremos @graphext plataforma de #datascience no code. Entradas🎟 https://t.co/ksTzmzqqLQ,positivo
"¡Vamos con los talleres de mayo! Este mes tenemos un montón de #freeevents 👩‍💻Metaverso, OSINT, Sistemas de diseño UX/UI, un coloquio sobre educación ... ¡No esperes más y saca ya tu entrada! 🎟https://t.co/Nlwg6cTDOa https://t.co/zWjT1I2AER",negativo
👏🚀Lanzamos una nueva edición de las #becas Digital Talent Pipeline para cursar un #bootcamp en junio y septiembre ¿Quieres solicitar la tuya? Plazo hasta el 30 de mayo ¡Date prisa #digitaltalent! ➡https://t.co/PXFR0q85F7 https://t.co/qwiGSm4WOI,positivo
La 2da presentación del #LibroIC en #Madrid será el J26Mayo(18:30) en @TheBridge_Tech acompañados por  Tíscar Lara (@tiscar) y Mario López de Ávila (@nodosenlared) sobre impacto de la #IC en el diseño y gestión de las organizaciones. +Info/inscripciones: https://t.co/OVzv1SdR7x,positivo
"🤩¿Quieres conocer el talento digital que llevas dentro? ¡Ven a nuestro Open Day y descúbrelo! 

📅Viernes 20 de mayo 11.15h en Paseo de Recoletos 15, Madrid.

🎟Saca tus entradas👇👇https://t.co/qq3WqsydKv",positivo
"¡Gracias a todos por el día de hoy! 😍😍

De la mano de: @AccentureSpain , Bonus Studios, @Making_Science_ @SomosMiogroup , Silicon HR , y @TheBridge_Tech hemos podido acercar el futuro talento digital hacia el mundo laboral 🔝 🔝 

#talent #empresas #marketing #BeGeneration https://t.co/wLbzhtXb94",positivo
En breve empezamos la charla sobre RV y Psicología! Todo ready! @TheBridge_Tech https://t.co/lW3fvKhcGZ,positivo
Mañana estaré junto a @LucaMefisto en una mesa redonda en @TheBridge_Tech donde hablaremos de la relación que hay entre #psicologia y la #realidadvirtual. Pinta interesante!!… https://t.co/FXt3Zdj7Uh,positivo
"Acabo de escuchar la charla de @kairos_ds en @TheBridge_Tech. Ahora que todo lo que tengo que aprender me abruma. Escuchar que si llego a la meta, me esperará una empresa así (ojalá), un equipo en el que se respire ese buen rollo y amor por el trabajo, me da fuerza para pelear",negativo
@pmdr_1189 @TheBridge_Tech Lamentablemente,negativo
"Esto es hoy! 
Nos vemos en @TheBridge_Tech con @quierodata para hablar de crecimiento dentro de @kairos_ds 🧡 https://t.co/miTZChXSwJ",negativo
@burn_es Prueba de ello 📸🔥 https://t.co/7SWL2ionj3,negativo
"Nuestra Head de Data &amp; IA @quierodata, estará mañana en las oficinas de @TheBridge_Tech, para hablar de las oportunidades de crecimiento profesional dentro de Kairós DS.🤩 

@IrnMM la acompañará resolviendo cualquier duda sobre Kairós DS… 

¿Te veremos allí?🧡

#OrgulloKairós https://t.co/0hUC9XkPxF",positivo
"Los compañeros de @TheBridge_Tech nos hablan de #softskills en IT, en #devspega junto a @flyncercom 
El valor diferencial de todo profesional. https://t.co/0On5h6N9hR",negativo
"#ESTAPASANDO Talento y competencias digitales #SP22
Inés Garcia @TheBridge_Tech
Enric Montesa @COEV_COM
Leticia Gonzalvez Directora marketing @sesamehr_
La competencia digital demandada en las empresas no son las básicas que todos tenemos. https://t.co/orPM5iTbPE",positivo
Tenemos que decir que el BURN Mondays de ayer con @TheBridge_Tech fue muy top! 🔝​❤️‍🔥,negativo
"Este jueves Job Market Place en @TheBridge_Tech con @spaingeneration La feria de empleo con el mejor talento de #marketingdigital @AccentureSpain, @Siliconhr1, ... participarán en busca del mejor talento. Si eres empresa y quieres participar 👉https://t.co/0n4iufzfmi https://t.co/A51YStbfjF",negativo
"""Necesitaba formación técnica para potenciar mi empleabilidad"", cuenta nuestra alumni Clara Bayón a @el_pais 🗞Tras hacer el #bootcamp en #ciberseguridad ahora trabaja en @DeloitteDE Check it out! 👉https://t.co/XGIPZfmtx6 https://t.co/7jrVa74qTG",positivo
Mercedes Mac Pherson @Globant : 'Hay un desconocimiento grande del poder de transformación de la tecnología' #mujerytecnología @TheBridge_Tech https://t.co/OFDlmziC1y,positivo
Sara Gómez @RainG 'La sociedad no sabe lo que hacemos los ingenieros y los tecnólogos' #mujerytecnología @TheBridge_Tech @Globant https://t.co/lYFyIZuW3J,positivo
Comienza nuestra segunda mesa 'Cómo construir un futuro que nos representa'. Aquí te dejamos el enlace para seguirnos en streaming https://t.co/ABQkBBLKmT #mujerytecnología @Globant @TheBridge_Tech https://t.co/kApsKZ04SD,negativo
"Carmen Artigas, secretaria de Estado de Digitalización e Inteligencia Artificial de Asuntos Económicos y Transformación Digital: 'Es nuestro momento. El momento de las mujeres' #mujerytecnología @Globant @TheBridge_Tech https://t.co/gLjyCQPBRH",negativo
"'Nunca se progresa desde el miedo. Hay que arriesgarse disfrutando', Irene Cano @Meta #mujerytecnología @TheBridge_Tech @Globant https://t.co/yaoUnWJIs6",negativo
"'Hay que tener una apertura de mente en los modelos educativos' María Rotondo @Telefonica 
Aquí te dejamos el enlace para seguirnos en streaming https://t.co/ABQkBBLKmT #mujerytecnología @Globant @TheBridge_Tech https://t.co/dB8tF3prJv",negativo
"A día de hoy, el 41 % de las  investigaciones públicas las hacen mujeres. Descubre más datos en numerosas jornada @TheBridge_Tech #mujerytecnología 
https://t.co/bNRyoB4h6y https://t.co/ZBQ4299zQW",negativo
@MujeresaSeguir @Globant @TheBridge_Tech Qué gran panel!,negativo
"¿Unimos #psicología, diseño #uxui y #realidadvirtual? La respuesta: SÍ! Te invitamos a la mesa redonda del 28 de abril en @TheBridge_Tech donde trataremos el diseño ux desde el punto de vista del tratamiento de las fobias a través de la #vr. Entradas 👉https://t.co/JGOpD7p2rO",positivo
@MujeresaSeguir @Globant @TheBridge_Tech Apuntado en la agenda 👌,positivo
¡Gracias a vosotros! https://t.co/g7otWL5xbs,negativo
"📢Como ya sabéis, antes de #SemanaSanta, nuestro alumnado de la #FPinformática💻 visitaron @TheBridge_Tech. Gracias a su trato hacia #ITEP🔵 y su colaboración os ofrecemos nuevas imágenes de esa actividad‼️ En ellas queda patente el interés de la cita 👌🏻 https://t.co/nt0LFYitDB",positivo
@TheBridge_Tech Otro de los placeres de haber pasado unos meses en esas aulas!! 😉👩🏻‍💻,negativo
"¡Qué bonito es nuestro palacio! 😍 Todo un privilegio para alumnos, profes y staff poder disfrutar de este espacio en pleno centro de Madrid. https://t.co/DCPt8lWJ6A",negativo
"Actualmente acoge las oficinas de The Bridge, una aceleradora de talento digital
📷 @TheBridge_Tech https://t.co/xgWzxnqdOI",negativo
@bertinha84 @TheBridge_Tech 👏🏻👏🏻👏🏻  🙌🏻,negativo
"▶Os presentamos a Jesús, alumni recién graduado del #bootcamp de #digitalmarketingops que tras acabar la carrera se lanzó en busca de una especialización en #MarketingDigital ¡Gracias Jesús por compartir tu experiencia y mucha suerte! 🚀 Más info 👉https://t.co/GtnhQmDsGP https://t.co/4VV7VDyjjP",positivo
@AndreaMaganRey @TheBridge_Tech https://t.co/fpGUkYnGX4,negativo
@bertinha84 @TheBridge_Tech A por ello @bertinha84 https://t.co/tz445Lv3mV,negativo
@alinnfm @TheBridge_Tech https://t.co/0IWmJ42wab,negativo
"@bertinha84 @TheBridge_Tech ¡¡Que emoción!! 🤗
Todo lo bueno del mundo para ti en esta etapa 🏆",negativo
@bertinha84 Ese nudo es presagio de algo bueno 😆¡Bienvenida a @TheBridge_Tech ! Muchas horas de #UXUI te esperan 🙌 ¡sin miedo!,negativo
"@marcosDLCS @TheBridge_Tech Lo haré, gracias Marcos 🙂",negativo
"@bertinha84 @TheBridge_Tech Mucha suerte en la nueva aventura.

¡No olvides compartir tu camino y tus experiencias! 

Seguro que son de utilidad para la comunidad.

💪",positivo
Hoy empiezo en un ratito mi camino en el Ux/ui de la mano de @TheBridge_Tech en su bootcamp. Tengo un nudo enorme en el estómago y todas las ganas de aprender. A por todas voy!,negativo
"@manufosela @Adalab_Digital @4GeeksAcademyES @socratech_ @TheBridge_Tech @ITAcademy @nebulova_es Muy orgullosos de nuestros Top Notch Coders🚀
Mucho ánimo a esa 6ª #GeneracionK  de 
@kairos_ds con todo lo nuevo👏",negativo
"De los 21, hay 7 desarrolladoras de @Adalab_Digital, 4 de @4GeeksAcademyES, 2 de @CodenotchMAD, 1 de @socratech_ , 1 de @TheBridge_Tech, 1 de @ITAcademy, 1 de @nebulova_es y de FP-DAW y autodidactas.",negativo
A la vuelta de #SemanaSantaSevilla toca👉 #bootcamps🧑‍💻Especialízate en #datascience o #desarrollowebfullstack con nuestros programas en colaboración con @ENCamaraSevilla ¡Estudia en pleno centro de Sevilla! Y en unos meses sal a comerte el sector tech🚀https://t.co/1MQSzZSqLv https://t.co/ggtxFWCV72,positivo
"📅El 25 de abril estrenamos los #BurnMondays🔥, con la colaboración de @burn_es, una oportunidad para que nuestr@s alum@s puedan presentar sus proyectos, hacer un taller... En definitiva, mostrar su talento al🌎 ¡Save the date! ➡ Entradas https://t.co/yzVCLHZXVd  
#bootcamps https://t.co/yZuTjBCGIf",negativo
@burn_es ¿Algún que otro? 😝 Toda energía extra es bienvenida y necesaria 🔋🔥 ¡Gracias @burn_es! Pronto haremos buen uso de ella... https://t.co/p0uELS5eIf,negativo
"Nos han contado que en @TheBridge_Tech se lo curran mucho... Hemos colado algún que otro BURN, ¿os viene bien una ayudita de energía? 🔋🔥",negativo
En dos semanas empezamos los bootcamps Part Time (compatibles con trabajo/estudios) en #Sevilla y en @ENCamaraSevilla ya hay quién ha empezado a calentar!!💪 ¿Preparados para lo que viene? 👉https://t.co/1KbOQQK8iw https://t.co/qfXAXSFyZ4,negativo
@TheBridge_Tech ¡A vuestra disposición! ¡Muchas gracias!,negativo
"@AndreaMaganRey Hola Andrea ¡Qué gran trabajo! Estamos encantados de pasarte información para que puedas completar ese listado, te mandamos un DM 👏",negativo
@assemblerinstit @TheBridge_Tech @CraftCodeTech @CodeHouseLearn @CodenotchMAD @NeolandStudio @Adalab_Digital @IEuniversity @lemoncoders @codeworks @geeks_academy @penascalf5 Hola. Lo tenemos en formato Json en Git. https://t.co/x2dnE2VFAB Podéis hacer un PR ;),negativo
"@raulcotrina @TheBridge_Tech @CraftCodeTech @CodeHouseLearn @CodenotchMAD @NeolandStudio @Adalab_Digital @IEuniversity @lemoncoders @codeworks @geeks_academy @penascalf5 Muy buenas Raúl, nos parece una idea increíble. ¿Me dices donde te pasamos la información de los cursos que tenemos actualmente?",positivo
"Cuando piensas en un hacker... ¿Te imaginas a una mujer? 🤔 ""Son muy pocas las mujeres que deciden apostar por estudios de tecnología, hay que fomentar la inclusión de las mujeres en un mercado laboral con un futuro muy prometedor"", explica @ikerarceseco 👩‍💻https://t.co/UQgHL1tLCQ",positivo
Hemos colaborado con @TheBridge_Tech aportando el proyecto final de los alumnos para el Desafío de Tripulaciones y premiando a los 3 grupos con una donación para la ONG de su elección. Increíbles resultados en tiempo récord🤩 #apoyamoseltalentotech https://t.co/vJ5HdV6gSN https://t.co/LpSUpFtdfp,positivo
"¡Llegó el día! Hoy es el #DesafiodeTripulaciones ⚔ en el campus de #Valencia ¡Mucha suerte a toda esa primera promoción valenciana presentando sus súper webapps! No te lo pierdas ▶ Sigue ya el DIRECTO aquí https://t.co/lLXz2wKxaX

#datascience #fullstackwebdevelopment #bootcamp",negativo
"Seguimos con la 2mesa #ForoVocentoEducación: Formación para el futuro y las nuevas profesionales que vienen. Participan:
▪️ @JuanJoseJuarez @FBertelsmann
▪️ @mortizcotro @FundCreate
▪️ Iker Arce @TheBridge_Tech
▪️ Gabriel Masfurroll @UABBarcelona
🔴DIRECTO https://t.co/8xxFlqVpCP https://t.co/3qAkFVQ9bs",positivo
"A partir de las 11h nuestro CEO @ikerarceseco participa en el #ForoVocentoEducacion en el debate ""Formación para el futuro y las nuevas profesiones que vienen"" organizado por @Vocento (@vocentoeventos) y @KreabEspana. Síguelo🔴EN DIRECTO ➡ https://t.co/JFh6RBMBd4 https://t.co/OvbZKL0yVZ https://t.co/RJvjrxULch",negativo
"2⃣ FORMACIÓN PARA EL FUTURO Y LAS NUEVAS PROFESIONES QUE VIENEN
▪️ @JuanJoseJuarez (@FBertelsmann)
▪️ @mortizcotro (@FundCreate)
▪️ Iker Arce (@TheBridge_Tech)
▪️ Gabriel Masfurroll (@UABBarcelona)
Modera: Antonio San José (@asanjoseperez) (@KreabEspana) 
#ForoVocentoEducación https://t.co/kMY2q5gEZE",negativo
"Jaime, estoy seguro de que en @TheBridge_Tech , la aceleradora de talento digital líder en nuestro país, estarían encantados de ayudarte en la organización de ese Hackhaton. Al menos yo lo estoy 😉 https://t.co/60ybQN84qk",positivo
"La @camaradesevilla organiza junto al Grupo Planeta y su presidente José Lara, este encuentro con las empresas #ClubCámara para recoger las necesidades del #SectorTecnológico y presentar nuestra oferta de #Bootcamps de la mano de @TheBridge_Tech https://t.co/rJkWd5MKT8 https://t.co/J6SHTHXylM",positivo
Hoy han venido a visitarnos los alumnos de @itep_es de #DAM #ASIR y #MARKETING para conocer nuestro campus de Madrid y el futuro de profesiones tecnológicas como las suyas ¡Esperamos que hayais pasado una estupenda jornada! Sois los profesionales #techie del mañana 👩‍💻🧑‍💻 https://t.co/U1gPnU7TgI,negativo
"¿Crees que lo sabes todo?🤓¡Déjate sorprender! Adéntrate en el mundo de la #ProgramacionWeb y las criptomonedas, conoce la metolodogía #Scrum o profundiza en el #deeplearning. Apúntate a nuestros talleres gratuitos y amplía horizontes 👉https://t.co/bYfstQB02R https://t.co/O1Y4J6puMR",positivo
"¡Comenzamos el #Desafiodetripulaciones ⚔ de la promo full time de noviembre! El tema de los proyectos: el #coliving, con la colaboración de @TheFringeLABS  ¡No te pierdas las web apps que han creado! 🔴EN DIRECTO https://t.co/PepMdUmCMu",positivo
"🎉 Congrats to @simplilearn, @TheBridge_Tech, @thinkful, and @udacity who made it on our list of the 14 Best Digital Marketing Bootcamps of 2022! https://t.co/tgUf4qX2DX https://t.co/MIhFTrM9lA",negativo
"Más de 300.000 expertos en #ciberseguridad se han unido en una especie de ""ejército IT"" en Ucrania para llevar a cabo ataques informáticos contra infraestructuras y empresas rusas 👾🔓https://t.co/CERWGVqWQw",negativo
"En 2021, las instituciones que forman profesionales digitales con modelos de Bootcamp prepararon a más personas que el 94% de las universidades españolas @Adalab_Digital @TheBridge_Tech @ironhack https://t.co/zyzeLrNdLo",negativo
"🔐 We've combed through student &amp; alumni reviews to find the 17 Best Cyber Security Bootcamps of 2022, including @Level_Effect, @nexgent, @simplilearn, @Springboard, and @TheBridge_Tech! 
https://t.co/t9VCetS80T https://t.co/uhS3m8KSBT",negativo
@PICKYUAN @TheBridge_Tech @PagePersonnel Yo por experiencia te diría que busques otra escuela. Cuando las cosas funcionan bien todo muy bonito ahora cuando no… no hacen nada y te dicen que esto es lo que hay 😅🤦‍♂️,negativo
¡Muy contentos por todos ellos! 100% empleabilidad en la promoción de junio. Gracias desde @TheBridge_Tech por confiar y ponerlo todo tan fácil ¡Felicidades! #fullstackdevelopers #datascientists #digitalmarketers #uxuidesigners #cybersecurityanalysts 🎯💼 https://t.co/R0eGi9QXv5,positivo
"👾La #ciberseguridad, más necesaria que nunca.

El #sectortecnológico pide más financiación y formación de profesionales para evitar ataques a sectores claves para la economía como energía, finanzas y transporte 🔒 https://t.co/OxY8JpRavS",positivo
"¿Algún identificado en la sala? 😂

#desarrolloweb #css #fullstackdeveloper https://t.co/169UXtS1b5",positivo
Faltan por salir las listas de #UXUIProductDesign #DataScience y #DesarrolloWebFullStack ¡Sería estupendo volver a aparecer!,negativo
¡El #bootcamp de #Ciberseguridad de @TheBridge_Tech vuelve a estar entre los mejores bootcamps del mundo! Y este año también nos estrenamos con el de #DigitalMarketingOps que entra por primera vez en la lista de #CourseReport! Una súper noticia👏👏¡Gracias a todos! #bestbootcamps https://t.co/3xShvybDST,positivo
"Día para agradecer a @TheBridge_Tech y @Glovo_ES la oportunidad que han dado a estos dos cracks para formarse con @codeorg en programación por bloques en un curso de 48 horas de duración.
Bravo 🙌 
🔝🦸🏻‍♂️🦸🏻‍♀️🏭🇪🇸 https://t.co/ZTCrroHQTc",positivo
[Opinión] Por más mujeres líderes en tecnología https://t.co/FqVeFL1ljq https://t.co/SFOFIEv1Uo @TheBridge_Tech https://t.co/kBo9xGdGrU,negativo
[Opinión] Por más mujeres líderes en tecnología - https://t.co/FqVeFL1ljq @TheBridge_Tech https://t.co/TE5sXsBaAT,negativo
"@PICKYUAN @PagePersonnel Sentimos mucho el fallo técnico. Revisaremos que pudo pasar, pueden conectarse a próximos eventos o contactarnos si quieren más información sobre la escuela llamar al 919 01 72 57 ¡Gracias!",positivo
"@TheBridge_Tech @PagePersonnel Mi hijo y yo nos apuntamos con muchos días de antelación
Hoy a las 7 nos conectamos y aparece el mensaje ""Enlace caducado"": no nos hemos podido conectar
Es una pena que, además de tener que recurrir a lo on-line, con la frialdad que supone, ocurran estos fallos técnicos
Muy mal",positivo
"¡Empezamos el 21 de marzo en #Sevilla! No te puedes perder este taller de empleabilidad con el que arrancamos 🚀 Entradas: https://t.co/91M74qEah2
📅Hoy a las 19h
📍C/Isabela 1, Sevilla
@ENCamaraSevilla https://t.co/euWktCKqYp",negativo
"Toma contacto con el #marketingdigital de la mano de @TheBridge_Tech. Aprende a usar el contenido, el email, las redes sociales y la publicidad digital en este taller impartido por @jpereznavarrete📝

📅Jueves 3 de marzo, 18-19h (online)

#EventoDeLaSemana  #masterclass #MyNews",positivo
Gracias @insidezeusdata y @vicencf por la jornada formativa ¡Fue toda una experiencia para nuestros alumnos de #Valencia! 🤗 https://t.co/CCJh9DGB2f,positivo
"Nuestro PMO @vicencf da una clase a los alumnos de @TheBridge_Tech  en nuestras instalaciones 🚀

#bigdata #data #education https://t.co/jiskmovU0m",negativo
"¡#Datascientist mirad esto! ⚽🏃 Cómo @LaLiga utiliza el dato y la inteligencia artificial (IA) para predecir cuáles son las mejores fechas para celebrar partidos, monitorizar la venta de entradas... ¡Interesante conocer su filial @LaLigaTech! https://t.co/HrEwHLEivh
#datascience",positivo
¡Gracias a vosotros! Los alumnos se llevaron grandes consejos y una visión del mercado laboral en profesiones #tech desde la perspectiva de #seleccion y #recruitment 🤩 @PagePersonnelES @michaelpage_es https://t.co/GaG9M8PTOA,positivo
"Hace unos días, nuestras compañeras Inés Bdiri y Alba Calvo estuvieron en la Aceleradora de Talento digital @TheBridge_Tech para contar a sus alumnos las ""best practices"" en la búsqueda de empleo y ¡fue un éxito! 👏

¡Gracias a todos los asistentes!🙌 https://t.co/JLvRI7z6Ti",positivo
"Si veis estos carteles por Sevilla, SÍ, SOMOS NOSOTROS! Aterrizamos en marzo con los #bootcamps en #DataScience y #DesarrolloWebFullStack ¡Pide información sin compromiso! En colaboración con @ENCamaraSevilla y @camaradesevilla 👍 https://t.co/V8mmlFAlEc https://t.co/JUOBlK4F7V",positivo
"📢¡Última semana!
Aún puedes solicitar una de las becas que otorgamos junto a @IndraCompany para la realización de un #bootcamp de Desarrollo Web Full-stack en @TheBridge_Tech 💻

💻10 #becas dirigidas a personas con #discapacidad con formaciones #STEM 📲 https://t.co/ubL3Gyg3Gl https://t.co/yHUvz4zCXG",negativo
"¡Nuevos eventos para febrero y marzo! Talleres sobre #IA, #marketingdigital #empleabilidad, #ciber, #datascience ¡No te los pierdas e inscríbete! ⬇️ https://t.co/bSsTjrDH8l https://t.co/4b1jxJmMLO",negativo
Yo he caído en el bootcamp de Data science de @TheBridge_Tech en madrid. Si valor agregado consiste en presionarte para que aprendas por tu cuenta. Si no aprendes es tú culpa porque su método es muy sólido. Aunque se queje el 50% de la clase. https://t.co/g892EydfYy,positivo
¿Aún no has solicitado tu beca para el #bootcamp de Desarrollo Web Full-stack en @TheBridge_Tech? Si tienes #discapacidad y una formación universitaria #STEM puedes recibir una de las 10 becas de @IndraCompany y @FUniversia 📲¡Inscríbete ya! https://t.co/wYjp06QE9c https://t.co/bLDY1DVOKa,negativo
Presentando nuestra 2ª edición del Programa de Mentoring de forma presencial en @TheBridge_Tech. Encantadas con la asistencia y el apoyo de nuestros mentores y mentees 🙂🙂 Muchas gracias!! #womenincyber #W4C https://t.co/JcPYHB5Aze,positivo
@peritecno @jcgalindo_ @Women4Cyber_SP @TheBridge_Tech @bbva @sanitas @unicc_ict @EduvigisOrtiz @tima_soni Qué pena no poder asistir de manera presencial y poder conocer al resto de mentores y mentees,negativo
@uxbs_podcast El bootcamp de @TheBridge_Tech,negativo
"Hoy se celebra VLC Tech Women con motivo del #DiaDeLaMujeryLaNiñaEnLaCiencia, un evento en el que se hablará de inteligencia artificial, datos y el futuro de la mujer en la tecnología @AcmUpv @AcmWUpv https://t.co/OhDBKHnsQQ ¡Promete ser muy interesante!👩‍💻",positivo
"Sevilla está llena de talentos digitales por descubrir ¿te animas a conocer las profesiones del futuro?🧑‍💻Ven al taller y conoce de la mano de @pagepersonnel los perfiles más demandados ¡Saca tus entradas!👉 2 de marzo, 19h. https://t.co/5UMpplARdX",positivo
¡Feliz martes porque podemos anunciar que los Proptech Thursdays aterrizan en Madrid el 3 de marzo! 🎉Hemos creado estos eventos mensuales con la colaboración de @apicatalunya  y @TheBridge_Tech  y podéis reservar vuestras entradas en este enlace: https://t.co/cHFFfDUA9Z,negativo
"Aún puedes solicitar una de las becas que otorgamos junto a @IndraCompany para la realización de un #bootcamp de Desarrollo Web Full-stack en @TheBridge_Tech 💻

Son 10 #becas dirigidas a personas con #discapacidad con formaciones #STEM 📲 https://t.co/ubL3GyycUt https://t.co/KAzkvXPFkY",negativo
"Muchas ganas de hablar este martes con alumnos de @TheBridge_Tech acerca de como hacemos #DataScience #MachineLearning en Decathlon
https://t.co/asAw5W6uht https://t.co/4HOtEnbx7P",negativo
Automatización y el Covid-19 en el horizonte del nuevo trabajador https://t.co/aA3d4D199h #TalentoProfesional #TheBridge #Automatizacion @thebridge_tech,negativo
"¡Nos visita @DecathlonES ! Si te interesa la ciencia de datos y cómo se aplica a proyectos reales ¡Apúntate al evento! 👇 El 8 de febrero a las 17.30h 😉
#datascience #bestpractice #freeevent
https://t.co/pXyFXll3fa",positivo
"Cada vez se habla más de las ""soft skills"" y de lo importante que son para aplicar a posiciones tecnológicas ¡Descubre cuáles son en nuestro evento ""Soft Skills en tiempos de robots""! Saca tu entrada 👇
https://t.co/PfcDscwDtP",negativo
"🔥 ¡Impulsa tu carrera profesional con los nuevos #BootCamps de la @encamarasevilla!

✅Participa en el #OpenDay de los Bootcamps🚀 de Data Science y Desarrollo Web Full Stack con @TheBridge_Tech.

Más información en ⤵

https://t.co/CspTlfsJR8 https://t.co/ModB2H17pc",negativo
"Aún puedes solicitar una de las becas que otorgamos junto a @FUniversia para la realización de un #bootcamp de Desarrollo Web Full-stack en @TheBridge_Tech 💻
Son 10 #becas dirigidas a personas con #discapacidad con formaciones #STEM 📲 https://t.co/wYjp06QE9c https://t.co/OYCENTaRMr",negativo
"@kenia913 @_JorgeSLL_ @ChemaCorbacho @InesSainzOf @CHANCE_es @TheBridge_Tech No es así. Hay una carrera universitaria llamada Ciencia de Datos y también postgrados, pero lo que ha hecho ella es un curso de 15 semanas que no require tener estudios previos, el único requisito haber cumplido 18 años… 15 semanas de curso y se autodefine como “Científica” 🤦🏻‍♀️",negativo
"👏 @FUniversia, @IndraCompany y @TheBridge_Tech ponen en marcha programa de formación tecnológica gratuita para personas con discapacidad.

Lee más aquí 👉 https://t.co/8S1QiTK66I https://t.co/I2gFpUMUnG",negativo
"📰@UniversiaES, @IndraCompany i @TheBridge_Tech signen un acord per a engegar un programa de #beques dirigit a persones amb discapacitat que compten amb estudis #STEM, als quals donaran accés a un bootcamp d'aprenentatge en Desenvolupament Web Full-stack

https://t.co/dd3G8smkNU https://t.co/kwtYcCiyBV",negativo
"¡Open Day Sevilla! Asiste al evento y conoce más sobre los bootcamps de #DataScience y #DesarrolloWebFullStack en nuestra nueva sede en la @ENCamaraSevilla @camaradesevilla ¿Estás pensando en acelerar tu carrera digital?

👩‍💻Saca ya tus entradas🚀https://t.co/j6mTRz4NDB",positivo
"¡Inside The Bridge! ¡Emoción a flor de piel! Así reacciona Miriam Sánchez, la profe de UX/UI a los #proyectosfinales de los alumnos ¡Se puede decir que ya son UX/UI Designers! 😆

#uxui #bootcamp #clases #motivacion #palabrasraras https://t.co/bU5ZaGcTPV",negativo
